Country,UN,WB,SIDS,Population,Region,,,
Argentina,,UMI,0,45377000,LAC,,EAP,East Asia & Pacific
Aruba,,HI,1,106000,LAC,,LAC,Latin America & Caribbean
Australia,,HI,0,25748000,EAP,,EU,Europe
Austria,,HI,0,8887000,EU,,EEU,Eastern Europe 
Azerbaijan,,UMI,0,10067000,EEU,,CA,Central Asia
Bahrain,,HI,0,1503000,MENA,,MENA,Middle East and North Africa
Bangladesh,,LMI,0,171000000,SA,,SA,South Asia
Barbados,,HI,1,287000,LAC,,NA,North America
Belarus,,UMI,0,9397000,EEU,,SSA,Sub-Saharan Africa
Belgium,,HI,0,11431000,EU,,,
Bermuda,,HI,0,72000,NAM,,,
Bolivia,,LMI,0,11513000,LAC,,,
Bosnia and Herzegovina,,UMI,0,3280000,EEU,,,
Brazil,,UMI,0,212228000,LAC,,,
Bulgaria,,UMI,0,7000000,EEU,,,
Canada,,HI,0,38005000,NAM,,,
Cape Verde,,LMI,1,536300,SSA,,,
Cayman Islands,,HI,0,64000,LAC,,,
Chile,,HI,0,19107200,LAC,,,
China,,UMI,0,1440000000,EAP,,,
Colombia,,UMI,0,50374000,LAC,,,
Costa Rica,,UMI,0,5058000,LAC,,,
Cote d'Ivoire,,LMI,0,27088000,SSA,,,
Croatia,,HI,0,4088000,EEU,,,
Cuba,,UMI,1,11280000,LAC,,,
Curacao,,HI,0,158665,LAC,,,
Cyprus,,HI,0,888000,EU,,,
Czech Republic,,HI,0,10699000,EEU,,,
Denmark,,HI,0,5825000,EU,,,
Dominican Republic,,UMI,1,10448500,LAC,,,
Ecuador,,UMI,0,17336000,LAC,,,
Egypt,,LMI,0,101097000,MENA,,,
El Salvador,,LMI,0,6454000,LAC,,,
Estonia,,HI,0,1329000,EEU,,,
Ethiopia,,LI,0,114964000,SSA,,,
Falkland Islands (Malvinas),,HI,0,2840,LAC,,,
Fiji,,UMI,1,889300,EAP,,,
Finland,,HI,0,5522000,EU,,,
France,,HI,0,67422000,EU,,,
Georgia,,UMI,0,3723000,EEU,,,
Germany,,HI,0,83191000,EU,,,
Gibraltar,,HI,0,33701,EU,,,
Greece,,HI,0,10718000,EU,,,
Guatemala,,UMI,0,17689642,LAC,,,
Honduras,,LMI,0,9251000,LAC,,,
Hong Kong,,HI,0,7509200,EAP,,,
Hungary,,HI,0,9773000,EEU,,,
Iceland,,HI,0,356000,EU,,,
India,,LMI,0,1370000000,SA,,,
Indonesia,,UMI,0,273524000,EAP,,,
Iran,,UMI,0,83993000,MENA,,,
Iraq,,UMI,0,40223000,MENA,,,
Ireland,,HI,0,4921000,EU,,,
Israel,,HI,0,9124000,MENA,,,
Italy,,HI,0,60244000,EU,,,
Jamaica,,UMI,1,2727000,LAC,,,
Japan,,HI,0,125930000,EAP,,,
Jordan,,UMI,0,10756000,MENA,,,
Kazakhstan,,UMI,0,18736000,CA,,,
Kenya,,LMI,0,485000000,SSA,,,
Korea (Republic),,HI,0,51780000,EAP,,,
Kuwait,,HI,0,4465000,MENA,,,
Latvia,,HI,0,1916000,EEU,,,
Libya,,UMI,0,6871000,MENA,,,
Liechtenstein,,HI,0,38300,EU,,,
Lithuania,,HI,0,2795000,EEU,,,
Luxembourg,,HI,0,2724000,EU,,,
Macau,,UMI,0,672000,EAP,,,
Macedonia (Former Yugoslav Republic),,UMI,0,2077000,EEU,,,
Malaysia,,UMI,0,32612000,EAP,,,
Mali,,LI,0,20251000,SSA,,,
Malta,,HI,0,515000,MENA,,,
Mauritania,,LMI,1,4650000,SSA,,,
Mauritius,,HI,0,1266000,SSA,,,
Mexico,,UMI,0,128933000,LAC,,,
Monaco,,HI,0,38300,EU,,,
Mongolia,,LMI,0,3238000,EAP,,,
Montenegro,,UMI,0,622000,EEU,,,
Morocco,,LMI,0,35952000,MENA,,,
Namibia,,UMI,0,2500000,SSA,,,
Netherlands,,HI,0,17282000,EU,,,
New Zealand,,HI,0,5002000,EAP,,,
Nicaragua,,LMI,0,6454000,LAC,,,
Nigeria,,LMI,0,206140000,SSA,,,
Norway,,HI,0,5385000,EU,,,
Oman,,HI,0,4618000,MENA,,,
Pakistan,,LMI,0,220892000,SA,,,
Panama,,HI,0,4098000,LAC,,,
Peru,,UMI,0,32000000,LAC,,,
Philippines,,LMI,0,108000000,EAP,,,
Poland,,HI,0,38352000,EEU,,,
Portugal,,HI,0,10296000,EU,,,
Puerto Rico,,HI,0,3195000,LAC,,,
Qatar,,HI,0,2724000,MENA,,,
Romania,,HI,0,19405000,EEU,,,
Russian Federation,,UMI,0,146749000,CA,,,
Saudi Arabia,,HI,0,34800000,MENA,,,
Serbia,,UMI,0,6967000,EEU,,,
Singapore,,HI,1,5690000,EAP,,,
Slovakia,,HI,0,5464000,EEU,,,
Slovenia,,HI,0,2084300,EEU,,,
South Africa,,UMI,0,58780000,SSA,,,
Spain,,HI,0,47100000,EU,,,
Sri Lanka,,LMI,0,21803000,SA,,,
St. Kitts & Nevis,,HI,1,53000,LAC,,,
Sweden,,HI,0,10247000,EU,,,
Switzerland,,HI,0,8556000,EU,,,
Taiwan,,HI,0,23579000,EAP,,,
Tanzania,,LMI,0,55890747,SSA,,,
Thailand,,UMI,0,66559000,EAP,,,
Trinidad & Tobago,,HI,1,1366700,LAC,,,
Tunisia,,LMI,0,11819000,MENA,,,
Turkey,,UMI,0,83155000,EEU,,,
Ukraine,,LMI,0,41630000,EEU,,,
United Arab Emirates,,HI,0,9890000,MENA,,,
United Kingdom,,HI,0,66797000,EU,,,
United States,,HI,0,330600000,NAM,,,
Uruguay,,HI,0,3493200,LAC,,,
Venezuela,,UMI,0,32220000,LAC,,,
Vietnam,,LMI,0,96209000,EAP,,,
"Virgin Islands, British",,HI,0,107000,LAC,,,
Reunion,,HI,0,858000,SSA,,,
Armenia,,UMI,0,2960000,EU,,,
Vanuatu,,LMI,1,272000,EAP,,,
Guadeloupe,,HI,0,382700,LAC,,,
New Caledonia,,HI,0,269000,EAP,,,
Martinique,,HI,0,364300,LAC,,,
Senegal,,LMI,0,16706000,SSA,,,
Yemen,,LI,0,29826000,MENA,,,
Algeria,,LMI,0,43850000,MENA,,,
Kosovo,,UMI,0,1810000,EEU,,,
Seychelles,,HI,0,97625,SSA,,,
Uzbekistan,,LMI,0,34244000,CA,,,
Chad,,LI,0,16245000,SSA,,,
Mozambique,,LI,0,30067000,SSA,,,
Belize,,UMI,0,386200,SSA,,,
Burkina Faso,,LI,0,21510000,SSA,,,
Sierra Leone,,LI,0,7813000,SSA,,,
Rwanda,,LI,0,12663000,SSA,,,
Malawi,,LI,0,17563800,SSA,,,
Ghana,,LMI,0,31500000,SSA,,,
Cook Islands,,UMI,1,17574,EAP,,,
Uganda,,LI,0,40299300,SSA,,,
Zambia,,LMI,0,17855000,SSA,,,
Guiana,,UMI,0,296700,LAC,,,
Cambodia,,LMI,0,16524000,EAP,,,
Niger,,LI,0,24207000,SSA,,,
Marshall Islands,,UMI,1,55500,EAP,,,
Eritrea,,LI,0,6000000,SSA,,,
Samoa,,LMI,1,202500,EAP,,,
Afghanistan,,LI,0,38900000,MENA,,,
Nepal,,LMI,0,30188000,SA,,,
Gambia,,LI,0,2417000,SSA,,,
Zimbabwe,,LMI,0,14645000,SSA,,,
Nauru,,HI,1,12000,EAP,,,
Brunei,,HI,1,433285,EAP,,,
Botswana,,UMI,1,2304000,SSA,,,
Tonga,,UMI,1,104494,EAP,,,
Myanmar,,LMI,0,54100000,EAP,,,
Togo,,LI,0,7352000,SSA,,,
Guam,,HI,0,168000,EAP,,,
Somalia,,LI,0,15893000,SSA,,,
Albania,,UMI,0,2846000,EU,,,
Palau,,HI,1,17661,EAP,,,
Cameroon,,LMI,0,26546000,SSA,,,
Burundi,,LI,0,12044000,SSA,,,
Madagascar,,LI,0,26251000,SSA,,,
Benin,,LMI,0,11884000,SSA,,,
Suriname,,UMI,1,590100,LAC,,,
Solomon Islands,,UMI,1,721400,EAP,,,
Maldives,,UMI,1,557000,SA,,,
Lesotho,,LMI,0,2142000,SSA,,,
Djibouti,,LMI,0,988000,MENA,,,
Laos,,LMI,0,7124000,EAP,,,
Antigua and Barbuda,,HI,1,97625,LAC,,,
